date,region,cases,occupied_beds,staffed_beds
2025-01-01,East,62,135,220
2025-02-01,East,69,138,220
2025-03-01,East,76,141,220
2025-04-01,East,83,144,220
2025-05-01,East,90,147,220
2025-06-01,East,97,150,220
2025-07-01,East,104,153,220
2025-08-01,East,111,156,220
2025-09-01,East,118,159,220
2025-10-01,East,125,162,220
2025-11-01,East,132,165,220
2025-12-01,East,139,168,220
2025-01-01,North,47,123,220
2025-02-01,North,54,126,220
2025-03-01,North,61,129,220
2025-04-01,North,68,132,220
2025-05-01,North,75,135,220
2025-06-01,North,82,138,220
2025-07-01,North,89,141,220
2025-08-01,North,96,144,220
2025-09-01,North,103,147,220
2025-10-01,North,110,150,220
2025-11-01,North,117,153,220
2025-12-01,North,124,156,220
2025-01-01,West,47,123,220
2025-02-01,West,54,126,220
2025-03-01,West,61,129,220
2025-04-01,West,68,132,220
2025-05-01,West,75,135,220
2025-06-01,West,82,138,220
2025-07-01,West,89,141,220
2025-08-01,West,96,144,220
2025-09-01,West,103,147,220
2025-10-01,West,110,150,220
2025-11-01,West,117,153,220
2025-12-01,West,124,156,220
