gene,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
GENE001,6.3,6.35,6.4,6.45,6.5,6.55,7.8,7.5,7.55,7.6,7.65,7.7
GENE002,6.6,6.7,6.8,6.9,6.65,6.75,8.05,7.8,7.9,8.0,8.1,7.85
GENE003,6.9,7.05,7.2,7.0,7.15,6.95,8.3,8.1,8.25,8.4,8.2,8.35
GENE004,7.2,7.4,7.25,7.45,7.3,7.5,8.55,8.4,8.6,8.45,8.65,8.5
GENE005,6.0,6.25,6.15,6.05,6.3,6.2,7.3,7.2,7.45,7.35,7.25,7.5
GENE006,6.3,6.6,6.55,6.5,6.45,6.4,7.55,7.5,7.8,7.75,7.7,7.65
GENE007,6.6,6.6,6.6,6.6,6.6,6.6,7.8,7.8,7.8,7.8,7.8,7.8
GENE008,6.9,6.95,7.0,7.05,7.1,7.15,7.0,6.7,6.75,6.8,6.85,6.9
GENE009,7.2,7.3,7.4,7.5,7.25,7.35,7.25,7.0,7.1,7.2,7.3,7.05
GENE010,6.0,6.15,6.3,6.1,6.25,6.05,6.0,5.8,5.95,6.1,5.9,6.05
GENE011,6.3,6.5,6.35,6.55,6.4,6.6,6.25,6.1,6.3,6.15,6.35,6.2
GENE012,6.6,6.85,6.75,6.65,6.9,6.8,6.5,6.4,6.65,6.55,6.45,6.7
GENE013,6.9,7.2,7.15,7.1,7.05,7.0,6.75,6.7,7.0,6.95,6.9,6.85
GENE014,7.2,7.2,7.2,7.2,7.2,7.2,7.0,7.0,7.0,7.0,7.0,7.0
GENE015,6.0,6.05,6.1,6.15,6.2,6.25,6.1,5.8,5.85,5.9,5.95,6.0
GENE016,6.3,6.4,6.5,6.6,6.35,6.45,6.35,6.1,6.2,6.3,6.4,6.15
GENE017,6.6,6.75,6.9,6.7,6.85,6.65,6.6,6.4,6.55,6.7,6.5,6.65
GENE018,6.9,7.1,6.95,7.15,7.0,7.2,6.85,6.7,6.9,6.75,6.95,6.8
GENE019,7.2,7.45,7.35,7.25,7.5,7.4,7.1,7.0,7.25,7.15,7.05,7.3
GENE020,6.0,6.3,6.25,6.2,6.15,6.1,5.85,5.8,6.1,6.05,6.0,5.95
GENE021,6.3,6.3,6.3,6.3,6.3,6.3,6.1,6.1,6.1,6.1,6.1,6.1
GENE022,6.6,6.65,6.7,6.75,6.8,6.85,6.7,6.4,6.45,6.5,6.55,6.6
GENE023,6.9,7.0,7.1,7.2,6.95,7.05,6.95,6.7,6.8,6.9,7.0,6.75
GENE024,7.2,7.35,7.5,7.3,7.45,7.25,7.2,7.0,7.15,7.3,7.1,7.25
GENE025,6.0,6.2,6.05,6.25,6.1,6.3,5.95,5.8,6.0,5.85,6.05,5.9
GENE026,6.3,6.55,6.45,6.35,6.6,6.5,6.2,6.1,6.35,6.25,6.15,6.4
GENE027,6.6,6.9,6.85,6.8,6.75,6.7,6.45,6.4,6.7,6.65,6.6,6.55
GENE028,6.9,6.9,6.9,6.9,6.9,6.9,6.7,6.7,6.7,6.7,6.7,6.7
GENE029,7.2,7.25,7.3,7.35,7.4,7.45,7.3,7.0,7.05,7.1,7.15,7.2
GENE030,6.0,6.1,6.2,6.3,6.05,6.15,6.05,5.8,5.9,6.0,6.1,5.85
