"gene","case_mean","control_mean","delta"
"GENE003",8.26666666666667,7.04166666666667,1.225
"GENE002",7.95,6.73333333333333,1.21666666666667
"GENE001",7.63333333333333,6.425,1.20833333333333
"GENE007",7.8,6.6,1.2
"GENE006",7.65833333333333,6.46666666666667,1.19166666666667
"GENE005",7.34166666666667,6.15833333333333,1.18333333333333
"GENE004",8.525,7.35,1.175
"GENE018",6.825,7.05,-0.225000000000001
"GENE011",6.225,6.45,-0.225
"GENE025",5.925,6.15,-0.224999999999999
"GENE019",7.14166666666667,7.35833333333333,-0.216666666666668
"GENE026",6.24166666666667,6.45833333333333,-0.216666666666667
"GENE012",6.54166666666667,6.75833333333333,-0.216666666666665
"GENE027",6.55833333333333,6.76666666666667,-0.208333333333335
"GENE020",5.95833333333333,6.16666666666667,-0.208333333333334
"GENE013",6.85833333333333,7.06666666666667,-0.208333333333333
"GENE014",7,7.2,-0.2
"GENE021",6.1,6.3,-0.199999999999999
"GENE028",6.7,6.9,-0.199999999999999
"GENE015",5.93333333333333,6.125,-0.191666666666667
"GENE008",6.83333333333333,7.025,-0.191666666666666
"GENE022",6.53333333333333,6.725,-0.191666666666666
"GENE029",7.13333333333333,7.325,-0.191666666666666
"GENE009",7.15,7.33333333333333,-0.183333333333334
"GENE016",6.25,6.43333333333333,-0.183333333333334
"GENE030",5.95,6.13333333333333,-0.183333333333334
"GENE023",6.85,7.03333333333333,-0.183333333333332
"GENE024",7.16666666666667,7.34166666666667,-0.175000000000001
"GENE010",5.96666666666667,6.14166666666667,-0.175
"GENE017",6.56666666666667,6.74166666666667,-0.175
