gene,logFC,adj_p
G001,-1.5,0.002
G002,-1.0,0.004
G003,-0.5,0.006
G004,0.0,0.008
G005,0.5,0.01
G006,1.0,0.012
G007,1.5,0.014
G008,2.0,0.016
G009,-2.0,0.018000000000000002
G010,-1.5,0.02
G011,-1.0,0.022
G012,-0.5,0.024
G013,0.0,0.026000000000000002
G014,0.5,0.028
G015,1.0,0.03
G016,1.5,0.032
G017,2.0,0.034
G018,-2.0,0.036000000000000004
G019,-1.5,0.038
G020,-1.0,0.04
G021,-0.5,0.12100000000000001
G022,0.0,0.122
G023,0.5,0.123
G024,1.0,0.124
G025,1.5,0.125
G026,2.0,0.126
G027,-2.0,0.127
G028,-1.5,0.128
G029,-1.0,0.129
G030,-0.5,0.13
G031,0.0,0.131
G032,0.5,0.132
G033,1.0,0.133
G034,1.5,0.134
G035,2.0,0.135
G036,-2.0,0.136
G037,-1.5,0.137
G038,-1.0,0.138
G039,-0.5,0.139
G040,0.0,0.14
G041,0.5,0.14100000000000001
G042,1.0,0.14200000000000002
G043,1.5,0.14300000000000002
G044,2.0,0.14400000000000002
G045,-2.0,0.14500000000000002
G046,-1.5,0.14600000000000002
G047,-1.0,0.14700000000000002
G048,-0.5,0.14800000000000002
G049,0.0,0.14900000000000002
G050,0.5,0.15000000000000002
G051,1.0,0.151
G052,1.5,0.152
G053,2.0,0.153
G054,-2.0,0.154
G055,-1.5,0.155
G056,-1.0,0.156
G057,-0.5,0.157
G058,0.0,0.158
G059,0.5,0.159
G060,1.0,0.16
