"intervention","region","group","population","predicted_risk","observed_rate","program_cost","effectiveness","value_per_case","expected_cases_avoided","benefit","roi"
"Telehealth","South","older",160000,0.18,0.184,260000,0.12,12000,3456,41472000,158.507692307692
"Telehealth","South","adult",160000,0.16,0.159,260000,0.12,12000,3072,36864000,140.784615384615
"Outreach","West","older",145000,0.16,0.163,180000,0.08,12000,1856,22272000,122.733333333333
"Outreach","West","adult",145000,0.14,0.138,180000,0.08,12000,1624,19488000,107.266666666667
"Care team","Central","older",130000,0.14,0.142,420000,0.18,12000,3276,39312000,92.6
"Care team","Central","adult",130000,0.12,0.117,420000,0.18,12000,2808,33696000,79.2285714285714
"Telehealth","East","older",115000,0.12,0.121,260000,0.12,12000,1656,19872000,75.4307692307692
"Telehealth","East","adult",115000,0.1,0.096,260000,0.12,12000,1380,16560000,62.6923076923077
"Outreach","North","older",100000,0.1,0.1,180000,0.08,12000,800,9600000,52.3333333333333
"Outreach","North","adult",100000,0.08,0.075,180000,0.08,12000,640,7680000,41.6666666666667
